postalCode	placeName	adminName1	latitude	longitude
01190	Gorrevod	Rhône-Alpes	46.4155	4.9409
01190	Reyssouze	Rhône-Alpes	46.4321	4.9204
01190	Sermoyer	Rhône-Alpes	46.4972	4.9803
01190	Arbigny	Rhône-Alpes	46.4693	4.9622
01190	Pont-de-Vaux	Rhône-Alpes	46.4317	4.9401
01190	Saint-Étienne-sur-Reyssouze	Rhône-Alpes	46.4125	5.0008
01190	Boissey	Rhône-Alpes	46.3809	4.9958
01190	Saint-Bénigne	Rhône-Alpes	46.4396	4.9635
01190	Chevroux	Rhône-Alpes	46.3801	4.9476
01190	Chavannes-sur-Reyssouze	Rhône-Alpes	46.4313	4.9981
01190	Boz	Rhône-Alpes	46.4061	4.9161
01200	Léaz	Rhône-Alpes	46.0985	5.884
01200	Bureau de Poste de Bellegarde Arlod	Rhône-Alpes	46.0977	5.8153
01200	Lancrans	Rhône-Alpes	46.1273	5.8328
01200	Bureau de Poste de Chatillon En Michaille	Rhône-Alpes	46.1424	5.7979
01200	Bellegarde-sur-Valserine	Rhône-Alpes	46.1079	5.8242
01200	Bureau de Poste de Bellegarde Sur Valserine Pal	Rhône-Alpes	46.1069	5.8244
01200	Confort	Rhône-Alpes	46.1507	5.8234
01200	Bureau de Poste de Bellegarde Musinens	Rhône-Alpes	46.1192	5.8136
01200	Châtillon-en-Michaille	Rhône-Alpes	46.1432	5.7995
01200	Billiat	Rhône-Alpes	46.0769	5.7869
01200	Chézery-Forens	Rhône-Alpes	46.2223	5.8687
01200	Montanges	Rhône-Alpes	46.1647	5.8014
01200	Villes	Rhône-Alpes	46.0888	5.7864
01200	Injoux-Génissiat	Rhône-Alpes	46.051	5.8035
01200	Éloise	Rhône-Alpes	46.0803	5.8606
01210	Bureau de Poste de Ferney Voltaire	Rhône-Alpes	46.2564	6.1091
01210	Ferney-Voltaire	Rhône-Alpes	46.2586	6.1106
01210	Versonnex	Rhône-Alpes	46.3018	6.0966
01210	Ornex	Rhône-Alpes	46.2727	6.0998
01220	Bureau de Poste de Divonne Les Bains	Rhône-Alpes	46.3568	6.143
01220	Divonne-les-Bains	Rhône-Alpes	46.3594	6.1357
01220	Grilly	Rhône-Alpes	46.3299	6.117
01220	Sauverny	Rhône-Alpes	46.3151	6.1183
01230	Bureau de Poste de Tenay	Rhône-Alpes	45.9189	5.5093
01230	Nivollet-Montgriffon	Rhône-Alpes	45.9917	5.4438
01230	Bureau de Poste de Saint Rambert En Bugey	Rhône-Alpes	45.9486	5.4398
01230	Torcieu	Rhône-Alpes	45.9234	5.3948
01230	Tenay	Rhône-Alpes	45.919	5.5104
01230	Évosges	Rhône-Alpes	45.95	5.05
01230	Conand	Rhône-Alpes	45.8928	5.4726
01230	Arandas	Rhône-Alpes	45.8964	5.4857
01230	Chaley	Rhône-Alpes	45.9547	5.5311
01230	Argis	Rhône-Alpes	45.9358	5.4916
01230	Cleyzieu	Rhône-Alpes	45.9072	5.4302
01230	Saint-Rambert-en-Bugey	Rhône-Alpes	45.9443	5.439
01230	Oncieu	Rhône-Alpes	45.9596	5.4729
01240	Marlieux	Rhône-Alpes	46.065	5.0733
01240	La Chapelle-du-Châtelard	Rhône-Alpes	46.0699	5.0244
01240	Certines	Rhône-Alpes	46.1332	5.265
01240	Bureau de Poste de Saint Paul De Varax	Rhône-Alpes	46.0994	5.1294
01240	Saint-Paul-de-Varax	Rhône-Alpes	46.0985	5.129
01240	Lent	Rhône-Alpes	46.1203	5.1937
01240	Saint-Germain-sur-Renon	Rhône-Alpes	46.0809	5.0586
01240	Saint-André-le-Bouchoux	Rhône-Alpes	46.1176	5.0784
01240	Dompierre-sur-Veyle	Rhône-Alpes	46.0718	5.2057
01250	Bureau de Poste de Ceyzeriat	Rhône-Alpes	46.1792	5.3255
01250	Drom	Rhône-Alpes	46.2177	5.3676
01250	Ramasse	Rhône-Alpes	46.1923	5.3659
01250	Villereversure	Rhône-Alpes	46.1851	5.3827
01250	Corveissiat	Rhône-Alpes	46.2445	5.4824
01250	Chavannes-sur-Suran	Rhône-Alpes	46.264	5.4264
01250	Bohas-Meyriat-Rignat	Rhône-Alpes	46.1597	5.3885
01250	Simandre-sur-Suran	Rhône-Alpes	46.2271	5.4178
01250	Cize	Rhône-Alpes	46.2054	5.4458
01250	Germagnat	Rhône-Alpes	46.3102	5.4497
01250	Saint-Just	Rhône-Alpes	46.1914	5.2788
01250	Revonnas	Rhône-Alpes	46.163	5.3294
01250	Jasseron	Rhône-Alpes	46.2132	5.3258
01250	Hautecourt-Romanèche	Rhône-Alpes	46.1604	5.4171
01250	Grand-Corent	Rhône-Alpes	46.2018	5.4315
